Index|Word|Definition|Frequency|Example|Translation|Word In Sentence Form
W210655|점무늬|spotted design|5|점무늬 원피스를 입었어요.|I wore a polka-dotted dress.|점무늬
W210656|찔러넣다|to stick (in/into)|5|꼬치에 고기를 찔러넣었어요.|I stuck meat on the skewer.|찔러넣었어요
W210657|간지|meal or food in honorific form|5|진지 드세요.|Please have your meal.|진지
W210658|강원도|Gangwon-do|5|강원도로 스키 여행을 갔어요.|I went on a ski trip to Gangwon-do.|강원도
W210659|오리고기|duck meat|5|오리고기를 구워 먹었어요.|I grilled and ate duck meat.|오리고기
W210660|샴페인|champagne|5|새해에 샴페인을 마셨어요.|I drank champagne on New Year's.|샴페인
W210661|부케|bouquet|5|신부가 부케를 던졌어요.|The bride threw the bouquet.|부케
W210662|광고 회사|advertising company|5|광고 회사에서 일해요.|I work at an advertising company.|광고
W210663|패션 잡화|fashion goods|5|패션 잡화를 구경했어요.|I looked at fashion accessories.|패션
W210664|태권|taekwon|5|태권도를 배우고 있어요.|I'm learning taekwondo.|태권도
W210665|여성복|women's clothing|5|여성복 매장에 갔어요.|I went to the women's clothing store.|여성복
W210666|북한산|Bukhan Mountain|4|북한산에 등산했어요.|I hiked Bukhan Mountain.|북한산
W210667|궁중떡볶이|gungjung-tteokbokki (Royal Stir-fried Rice Cake)|4|궁중떡볶이를 먹어 봤어요.|I tried royal tteokbokki.|궁중떡볶이
W210668|서울숲|Seoul Forest|4|서울숲에서 산책했어요.|I took a walk in Seoul Forest.|서울숲
W210669|바네플|pineapple|4|바네플이 달아요.|The pineapple is sweet.|바네플
W210670|캘리포니아|California|4|캘리포니아에 가고 싶어요.|I want to go to California.|캘리포니아
W210671|강화도|Ganghwa-do|4|강화도를 여행했어요.|I traveled to Ganghwa Island.|강화도
W210672|베이징덕|Peking duck|4|베이징덕을 먹어 봤어요.|I tried Peking duck.|베이징덕
W210673|기름밥|oil rice|4|기름밥을 만들었어요.|I made oil rice.|기름밥
W210674|하와이|Hawaii|4|하와이로 신혼여행을 갔어요.|I went to Hawaii for my honeymoon.|하와이
W210675|바이킹|Viking|4|놀이공원에서 바이킹을 탔어요.|I rode the Viking at the amusement park.|바이킹
W210676|만리장성|Great Wall of China|4|만리장성을 구경했어요.|I toured the Great Wall of China.|만리장성
W210677|예상|Yeouido|4|예상에서 일해요.|I work in Yeouido.|예상
W210678|이삿짐센터|moving company|4|이삿짐센터에 전화했어요.|I called the moving company.|이삿짐센터
W210679|기르면|the middle or center|4|기르면에 앉으세요.|Please sit in the middle.|기르면
W210680|타코야키|Takoyaki|4|일본에서 타코야키를 먹었어요.|I ate takoyaki in Japan.|타코야키
W210681|무역휘사|trading company|4|무역회사에서 일해요.|I work at a trading company.|무역회사
W210682|속초|Sokcho|4|속초에서 회를 먹었어요.|I ate sashimi in Sokcho.|속초
W210683|이사짐센터|moving company|4|이사짐센터를 불렀어요.|I called the moving company.|이사짐센터
W210684|수원|Suwon|4|수원 화성을 구경했어요.|I toured Suwon Hwaseong.|수원
W210685|고시원|boarding place for the civil service examination|4|고시원에서 살고 있어요.|I live in a goshiwon.|고시원
W210686|금반지|baby's first birthday party|4|아이 돌잔치를 했어요.|We had a baby's first birthday party.|돌잔치
W210687|해운대|Haeundae|4|해운대 해변에 갔어요.|I went to Haeundae Beach.|해운대
W210688|국어국문학|Korean language and literature|4|국어국문학을 전공했어요.|I majored in Korean language and literature.|국어국문학
W210689|네덜란드|Netherlands|4|네덜란드를 여행했어요.|I traveled to the Netherlands.|네덜란드
W210690|출입국 관리 사무소|Immigration Office|4|출입국 관리 사무소에 갔어요.|I went to the Immigration Office.|출입국
W210691|노르웨이|Norway|4|노르웨이가 아름다워요.|Norway is beautiful.|노르웨이
W210692|인사동|Insa-dong|4|인사동에서 차를 마셨어요.|I drank tea in Insa-dong.|인사동
W210693|잡지사|magazine company|4|잡지사에서 일하고 싶어요.|I want to work at a magazine company.|잡지사
W210694|물방울무늬|polka dots|4|물방울무늬 드레스를 입었어요.|I wore a polka-dotted dress.|물방울무늬
W210695|동대문역사문화공원역|Dongdaemun history and culture park station|3|동대문역사문화공원역에서 내렸어요.|I got off at Dongdaemun History and Culture Park Station.|동대문역사문화공원역
W210696|나이로비|Nairobi|3|나이로비에 가 봤어요.|I've been to Nairobi.|나이로비
W210697|삼성역|Samseong subway station|3|삼성역에서 만나요.|Let's meet at Samseong Station.|삼성역
W210698|피오르드|fjord|3|노르웨이의 피오르드가 아름다워요.|Norway's fjords are beautiful.|피오르드
W210699|호치민|Ho Chi Minh|3|호치민시에 갔어요.|I went to Ho Chi Minh City.|호치민시
W210700|상파울루|Sao Paulo|3|상파울루는 큰 도시예요.|Sao Paulo is a big city.|상파울루
W210701|와이키키 해변|Waikiki beach|3|와이키키 해변에서 서핑했어요.|I surfed at Waikiki Beach.|와이키키
W210702|케냐|Kenya|3|케냐에서 사파리를 했어요.|I went on a safari in Kenya.|케냐
W210703|신문방송학|journalism and mass communication|3|신문방송학을 전공해요.|I major in journalism and mass communication.|신문방송학
W210704|밀전병|grilled wheat cake|3|밀전병을 구워 먹었어요.|I grilled and ate wheat cakes.|밀전병
W210705|언론정보학과|journalism and mass communication|3|언론정보학과에 다녀요.|I attend the journalism department.|언론정보학과
W210706|호놀룰루|Honolulu|3|호놀룰루에서 휴가를 보냈어요.|I spent my vacation in Honolulu.|호놀룰루
W210707|천문 우주학|astronomy|3|천문 우주학에 관심이 있어요.|I'm interested in astronomy.|천문
W210708|동대문역사문화공원|Dongdaemun History and Culture Park Station|3|동대문역사문화공원에 갔어요.|I went to Dongdaemun History and Culture Park.|동대문역사문화공원
W210709|하노이|Hanoi|3|하노이에서 쌀국수를 먹었어요.|I ate pho in Hanoi.|하노이
W210710|오슬로|Oslo|3|오슬로는 노르웨이의 수도예요.|Oslo is the capital of Norway.|오슬로
W210711|호찌민|Ho Chi Minh|3|호찌민에서 커피를 마셨어요.|I drank coffee in Ho Chi Minh.|호찌민
W210712|슈하스코|churrasco (name of a Brazilian food)|2|브라질에서 슈하스코를 먹었어요.|I ate churrasco in Brazil.|슈하스코
W210713|덴빌|Deuville (a city in France)|2|덴빌에 가고 싶어요.|I want to go to Deauville.|덴빌
W210714|호안끼엠|Hoan Kiem Lake (the name of a lake in Hanoi, Vietnam)|2|호안끼엠 호수를 구경했어요.|I toured Hoan Kiem Lake.|호안끼엠
