Index|Korean|어/아/여|습니다/ㅂ니다|다/ㄴ다/는다|면/으면|English|Frequency|Korean Example Sentence|English Example Sentence Translation
2급 읽이 9과 2항 4단어|씻다|씻어|씻습니다|씻는다|씻으면|to wash|1040|더러워진 옷을 깨끗하게 씻었어요.|I washed the dirty clothes clean.
2급 문법 19과 1항 2단어|-일|||||days|1041.24690999743|제주도에 3일 동안 있었어요.|I stayed in Jeju Island for 3 days.
2급 읽이 8과 2항 12단어|디퓨저|||||diffuser|1045.13321246486|방에서 향기 나는 디퓨저를 사용해요.|I use a fragrant diffuser in my room.
2급 읽이 12과 2항 3단어|신청 기간|||||registration period|1045.40663270745|수강 신청 기간이 다음 주까지예요.|The course registration period is until next week.
2급 문법 19과 1항 16단어|전망|||||view|1049|호텔 방에서 바다 전망이 보여요.|I can see the ocean view from the hotel room.
2급 읽이 6과 1항 11단어|장을 보다|장을 봐|장을 봅니다|장을 본다|장을 보면|to go grocery shopping|1050.68989552092|주말에 시장에서 장을 봤어요.|I went grocery shopping at the market on the weekend.
2급 읽이 12과 1항 10단어|점|||||point|1052|시험에서 좋은 점수를 받았어요.|I got good points on the exam.
2급 읽이 5과 2항 10단어|실수|||||mistake|1053|계산할 때 실수를 했어요.|I made a mistake while calculating.
2급 읽이 1과 1항 6단어|지내다|지내|지냅니다|지낸다|지내면|to spend one's time|1054|방학을 어떻게 지낼 예정이에요?|How do you plan to spend your vacation?
2급 읽이 17과 1항 7단어|공상 과학|||||science fiction|1057.01771646272|공상 과학 소설을 읽는 것을 좋아해요.|I like reading science fiction novels.
2급 읽이 8과 2항 8단어|급하다|급해|급합니다|급하다|급하면|to be in a hurry|1058|급한 일이 생겨서 먼저 가야 해요.|An urgent matter came up so I have to leave first.
2급 문법 9과 8항 2단어|급하다|급해|급합니다|급하다|급하면|to be urgent|1058|이 일은 급하니까 빨리 해 주세요.|This work is urgent so please do it quickly.
2급 문법 9과 9항 4단어|쉰|||||fifty|1058.84868151043|아버지는 올해 쉰 살이세요.|My father is fifty years old this year.
2급 문법 20과 2항 17단어|그래도|||||but|1059.77169389371|비가 와도 그래도 나가야 해요.|Even though it's raining, I still have to go out.
2급 읽이 20과 2항 14단어|공기 청정기|||||air purifier|1059.81043924112|미세먼지 때문에 공기 청정기를 샀어요.|I bought an air purifier because of fine dust.
2급 문법 13과 2항 12단어|크기|||||size|1063.23612586129|옷의 크기가 맞는지 확인해 보세요.|Please check if the size of the clothes fits.
2급 문법 14과 2항 7단어|남기다|남겨|남깁니다|남긴다|남기면|to leave|1066|음식을 남기지 말고 다 드세요.|Don't leave any food and eat it all.
2급 읽이 11과 1항 14단어|압구정역|||||Apgujeong station|1066.17015379015|압구정역 근처에서 쇼핑했어요.|I shopped near Apgujeong station.
2급 문법 20과 1항 19단어|태풍|||||typhoon|1069|올해 태풍이 많이 올 것 같아요.|I think there will be many typhoons this year.
2급 읽이 1과 1항 11단어|건강하다|건강해|건강합니다|건강하다|건강하면|to be healthy|1070|매일 운동해서 몸이 건강해요.|I exercise every day so my body is healthy.
2급 읽이 15과 2항 4단어|배달 시키다|배달 시켜|배달 시킵니다|배달 시킨다|배달 시키면|to order for delivery|1074.69825574663|비가 와서 피자를 배달 시켰어요.|It was raining so I ordered pizza for delivery.
2급 읽이 8과 1항 6단어|환영회|||||reception|1075.32856671605|새 학기 환영회에 참석했어요.|I attended the new semester reception.
2급 읽이 14과 2항 8단어|기쁘다|기뻐|기쁩니다|기쁘다|기쁘면|to be joyful|1077|좋은 소식을 들어서 기뻐요.|I'm joyful because I heard good news.
2급 문법 10과 2항 2단어|들어주다|들어줘|들어줍니다|들어준다|들어주면|to do (a favor)|1084.32842290495|친구의 부탁을 들어줬어요.|I did a favor for my friend.
2급 읽이 14과 2항 2단어|출발하다|출발해|출발합니다|출발한다|출발하면|to depart|1090|기차가 10분 후에 출발해요.|The train departs in 10 minutes.
2급 문법 15과 2항 1단어|신용카드|||||credit card|1090.78104037326|온라인 결제할 때 신용카드를 써요.|I use a credit card for online payments.
2급 문법 1과 3항 2단어|무역 회사|||||trading company|1091.86270053033|형이 무역 회사에서 일하고 있어요.|My older brother works at a trading company.
2급 읽이 17과 2항 14단어|펜팔|||||penpal|1094.88513914403|외국인 펜팔과 편지를 주고받아요.|I exchange letters with a foreign penpal.
2급 문법 16과 1항 21단어|낫다 1|나아|낫습니다|낫는다|나으면|to be better|1095.83076566923|이 방법이 저 방법보다 나아요.|This method is better than that method.
2급 읽이 6과 1항 10단어|방문하다|방문해|방문합니다|방문한다|방문하면|to visit|1096|할머니 댁을 방문해서 안부를 여쭸어요.|I visited my grandmother's house and asked about her well-being.
2급 문법 6과 9항 9단어|여성복|||||women's clothing|1100.87290976662|백화점 여성복 매장에서 옷을 샀어요.|I bought clothes at the women's clothing store in the department store.
2급 읽이 3과 2항 10단어|캘리포니아|||||California|1101.2818190502|캘리포니아에서 유학생활을 했어요.|I studied abroad in California.
2급 문법 13과 1항 13단어|저금|||||savings or deposit|1107.67404723447|매달 일정 금액을 저금하고 있어요.|I'm saving a certain amount every month.
2급 읽이 5과 1항 13단어|소스|||||sauce|1108|파스타에 토마토 소스를 넣었어요.|I put tomato sauce in the pasta.
2급 문법 4과 9항 6단어|서재|||||a study or library|1121.92788545508|아버지는 서재에서 책을 읽으세요.|My father reads books in his study.
2급 읽이 6과 2항 1단어|패션잡화|||||fashion goods|1129.58211486693|패션잡화 매장에서 가방을 샀어요.|I bought a bag at the fashion goods store.
2급 문법 8과 9항 8단어|앨범|||||album|1132|가수의 새 앨범이 나왔어요.|The singer's new album came out.
2급 읽이 6과 2항 12단어|비교하다|비교해|비교합니다|비교한다|비교하면|to compare|1133|두 제품의 가격을 비교해 봤어요.|I compared the prices of the two products.
2급 문법 11과 1항 6단어|노선도|||||route map|1133.63573502284|지하철 노선도를 보고 길을 찾았어요.|I found the way by looking at the subway route map.
2급 문법 15과 1항 15단어|예약석|||||reserved seats|1134.37210896518|기차 예약석을 미리 예매했어요.|I booked reserved train seats in advance.
2급 문법 10과 3항 3단어|벗다|벗어|벗습니다|벗는다|벗으면|to take off|1135|집에 들어가기 전에 신발을 벗었어요.|I took off my shoes before entering the house.
2급 읽이 8과 2항 1단어|집들이|||||housewarming party|1135.59241977055|새 집으로 이사해서 집들이를 했어요.|I moved to a new house and had a housewarming party.
2급 읽이 5과 1항 30단어|메뉴|||||menu|1137|식당 메뉴를 보고 주문했어요.|I looked at the restaurant menu and ordered.
2급 문법 15과 2항 12단어|배달시키다|배달시켜|배달시킵니다|배달시킨다|배달시키면|to order for delivery|1137.58356904145|중국음식을 배달시켜서 먹었어요.|I ordered Chinese food for delivery and ate it.
2급 읽이 18과 1항 9단어|계획대로|||||as planned|1137.90970330592|모든 일이 계획대로 진행되고 있어요.|Everything is proceeding as planned.
2급 읽이 5과 1항 27단어|대구|||||Daegu|1139|대구에 살고 있는 친구를 만나러 갔어요.|I went to meet a friend who lives in Daegu.
2급 문법 5과 9항 17단어|굽다|구워|굽습니다|굽는다|구우면|to grill|1140|고기를 불에 구워서 먹었어요.|I grilled meat over fire and ate it.
2급 읽이 1과 1항 1단어|잡지사|||||magazine company|1142.66276999842|언니가 잡지사에서 기자로 일해요.|My older sister works as a reporter at a magazine company.
2급 읽이 9과 1항 21단어|이틀|||||two days|1143|이틀 동안 부산에 여행을 갔어요.|I went on a trip to Busan for two days.
2급 읽이 1과 2항 22단어|자세히|||||in detail|1145|선생님이 문법을 자세히 설명해 주셨어요.|The teacher explained the grammar in detail.
2급 읽이 1과 2항 9단어|신문방송학|||||journalism and mass communication|1145.16790944617|대학교에서 신문방송학을 전공했어요.|I majored in journalism and mass communication at university.
2급 문법 16과 1항 17단어|목이 쉬다|목이 쉬어|목이 쉽니다|목이 쉰다|목이 쉬면|to have a hoarse throat|1146.15856565069|노래를 많이 불러서 목이 쉬었어요.|My throat became hoarse from singing a lot.
2급 문법 2과 3항 3단어|발|||||foot|1148|새 신발을 신어서 발이 아파요.|My feet hurt because I wore new shoes.
2급 문법 12과 2항 6단어|기간|||||time period|1149|방학 기간이 한 달이에요.|The vacation period is one month.
2급 읽이 5과 2항 23단어|재료|||||ingredient|1150|요리에 필요한 재료를 사러 갔어요.|I went to buy ingredients needed for cooking.
2급 읽이 19과 1항 5단어|숙박 시설|||||accommodations|1152.10715180729|여행지에서 좋은 숙박 시설을 찾았어요.|I found good accommodations at the travel destination.
2급 문법 13과 2항 14단어|높이|||||height|1158|이 건물의 높이가 얼마나 돼요?|What is the height of this building?
2급 문법 12과 2항 7단어|홈페이지|||||homepage|1159|학교 홈페이지에서 공지사항을 확인했어요.|I checked the announcements on the school homepage.
2급 문법 13과 2항 18단어|낮다 3|낮아|낮습니다|낮다|낮으면|to be low or short|1171|이 책상은 제게 너무 낮아요.|This desk is too low for me.
2급 문법 20과 2항 13단어|다림질하다|다림질해|다림질합니다|다림질한다|다림질하면|to iron|1171.57296685036|주름진 셔츠를 다림질했어요.|I ironed the wrinkled shirt.
2급 문법 15과 1항 1단어|팀장|||||manager|1175|우리 팀장님은 정말 친절하세요.|Our team manager is really kind.
2급 문법 11과 1항 20단어|안전선|||||safety line|1175.44186755549|지하철에서 안전선 밖으로 나가지 마세요.|Don't go outside the safety line on the subway.
2급 문법 11과 2항 14단어|주차금지|||||no parking|1182.10800446104|이 곳은 주차금지 구역이에요.|This is a no parking zone.
2급 문법 13과 1항 11단어|부부|||||husband and wife|1197|행복한 부부가 되고 싶어요.|I want to become a happy married couple.
2급 읽이 3과 2항 12단어|호놀룰루|||||Honolulu|1202.95021554921|하와이 호놀룰루에서 휴가를 보냈어요.|I spent my vacation in Honolulu, Hawaii.
2급 문법 16과 2항 19단어|점수|||||score or point|1203|시험에서 높은 점수를 받았어요.|I got a high score on the exam.
2급 읽이 6과 2항 7단어|인터넷쇼핑|||||internet shopping|1205.32927138265|인터넷쇼핑으로 옷을 주문했어요.|I ordered clothes through internet shopping.
2급 읽이 20과 2항 15단어|창문|||||window|1206|창문을 열어서 환기를 시켰어요.|I opened the window and ventilated the room.
2급 문법 20과 2항 1단어|종일|||||all day|1206.75408036914|종일 비가 내려서 집에 있었어요.|It rained all day so I stayed home.
2급 읽이 2과 2항 2단어|외숙모|||||aunt (wife of one's mother's brother)|1209.1199712595|외숙모께서 선물을 보내 주셨어요.|My aunt sent me a present.
2급 문법 12과 1항 8단어|버튼|||||button|1211|엘리베이터 버튼을 눌러 주세요.|Please press the elevator button.
2급 문법 6과 8항 5단어|상품|||||products|1212|새로운 상품이 많이 나왔어요.|Many new products came out.
2급 문법 20과 2항 12단어|걸레질하다|걸레질해|걸레질합니다|걸레질한다|걸레질하면|to wipe with a damp cloth|1214.68838804867|바닥을 걸레질해서 깨끗하게 만들었어요.|I wiped the floor with a damp cloth and made it clean.
2급 문법 18과 1항 2단어|쌓다|쌓아|쌓습니다|쌓는다|쌓으면|to accumulate or gain|1224|돈을 조금씩 쌓아서 저축하고 있어요.|I'm saving by accumulating money little by little.
2급 문법 5과 3항 16단어|섞다|섞어|섞습니다|섞는다|섞으면|to mix or blend|1227|밀가루와 물을 섞어서 반죽을 만들었어요.|I mixed flour and water to make dough.
2급 문법 10과 3항 8단어|줄다|줄어|줍니다|준다|줄면|to decrease or be reduced|1233|운동을 해서 몸무게가 줄었어요.|My weight decreased from exercising.
2급 문법 11과 1항 26단어|열리다|열려|열립니다|열린다|열리면|to be opened|1234|9시에 은행 문이 열려요.|The bank door opens at 9 o'clock.
2급 읽이 7과 1항 13단어|유행이다|유행이야|유행입니다|유행이다|유행이면|to be in fashion or popular|1241.22489464935|요즘 짧은 치마가 유행이에요.|Short skirts are in fashion these days.
2급 읽이 1과 1항 18단어|글|||||text|1246|재미있는 글을 읽었어요.|I read an interesting text.
2급 읽이 3과 1항 7단어|유명하다|유명해|유명합니다|유명하다|유명하면|to be famous|1247|이 식당은 맛있는 음식으로 유명해요.|This restaurant is famous for delicious food.
2급 문법 14과 2항 8단어|지우다|지워|지웁니다|지운다|지우면|to erase|1249.81526669581|칠판에 쓴 글씨를 지웠어요.|I erased the writing on the blackboard.
2급 문법 3과 8항 5단어|오래되다|오래돼|오래됩니다|오래된다|오래되면|to be a long time|1250|이 건물은 오래되어서 수리가 필요해요.|This building is old and needs repair.
2급 읽이 7과 2항 1단어|사이즈|||||size|1251|옷의 사이즈가 맞지 않아서 바꿨어요.|The size of the clothes didn't fit so I exchanged them.
2급 문법 11과 1항 4단어|반대|||||opposite|1255|제 의견과 반대되는 생각이에요.|It's an opinion opposite to mine.
2급 문법 17과 2항 3단어|조깅하다|조깅해|조깅합니다|조깅한다|조깅하면|to go jogging|1255.66051190253|매일 아침 공원에서 조깅해요.|I go jogging in the park every morning.
2급 읽이 10과 2항 19단어|음성안내기|||||voice guide|1262.53829791676|지하철 음성안내기가 다음 역을 알려줘요.|The subway voice guide announces the next station.
2급 읽이 16과 2항 10단어|수술을 받다|수술을 받아|수술을 받습니다|수술을 받는다|수술을 받으면|to get a surgery|1266.29993028473|다리를 다쳐서 수술을 받았어요.|I had surgery because I injured my leg.
2급 문법 20과 2항 20단어|하지만|||||but or however|1271.82016673032|열심히 공부했어요. 하지만 시험이 어려웠어요.|I studied hard. However, the exam was difficult.
2급 문법 10과 8항 2단어|이미|||||already|1274.4973275112|숙제를 이미 끝냈어요.|I already finished my homework.
2급 문법 2과 3항 12단어|허리|||||waist|1275|무거운 것을 들다가 허리가 아팠어요.|My waist hurt while lifting something heavy.
2급 문법 9과 3항 8단어|진지|||||meal or food in honorific form|1275.6414070027|어르신들께서 진지를 드시고 계세요.|The elderly are having their meal.
2급 문법 20과 2항 8단어|비옷|||||raincoat|1279.20963231009|비가 와서 비옷을 입고 나갔어요.|It was raining so I went out wearing a raincoat.
2급 읽이 8과 1항 12단어|맛집|||||popular local restaurant|1281.58978826832|친구가 추천한 맛집에 갔어요.|I went to a popular restaurant my friend recommended.
2급 읽이 12과 2항 10단어|언어 교환|||||language exchange|1285.45383585151|외국인과 언어 교환을 하고 있어요.|I'm doing language exchange with a foreigner.
2급 문법 20과 2항 2단어|그러면|||||then|1286.07105708215|시간이 없으면 그러면 내일 만날까요?|If you don't have time, then shall we meet tomorrow?
2급 읽이 16과 1항 5단어|배탈나다|배탈나|배탈납니다|배탈난다|배탈나면|to have a stomach disorder|1293.42758387793|상한 음식을 먹어서 배탈났어요.|I got a stomach disorder from eating spoiled food.
2급 문법 11과 1항 1단어|이태원역|||||Itaewon Station|1294.31084834505|이태원역에서 외국인 친구들을 만났어요.|I met foreign friends at Itaewon Station.
2급 읽이 6과 2항 3단어|스포츠용품|||||sporting goods|1297.43016476277|스포츠용품 매장에서 운동화를 샀어요.|I bought sneakers at the sporting goods store.
2급 읽이 5과 1항 15단어|무료|||||free of charge|1303|이 박물관은 입장료가 무료예요.|This museum has free admission.
2급 문법 17과 1항 4단어|무료|||||free|1303|무료 와이파이를 사용할 수 있어요.|You can use free WiFi.
2급 읽이 15과 1항 10단어|잠시만요|||||please hold|1305.97654066514|전화 받고 있으니까 잠시만요.|I'm answering the phone, so please hold.
2급 문법 18과 1항 4단어|학원|||||academy|1307|영어 학원에 다니고 있어요.|I'm attending an English academy.
2급 읽이 5과 2항 19단어|끓이다|끓여|끓입니다|끓인다|끓이면|to boil|1308|라면을 끓여서 먹었어요.|I boiled ramen and ate it.
2급 문법 5과 9항 22단어|끓이다|끓여|끓입니다|끓인다|끓이면|to boil or heat|1308|물을 끓여서 차를 만들었어요.|I boiled water and made tea.
2급 읽이 4과 1항 2단어|이삿짐센터|||||moving company|1309.934481862|이삿짐센터에 전화해서 이사 날짜를 정했어요.|I called the moving company and set the moving date.
2급 문법 1과 3항 11단어|그만두다|그만둬|그만둡니다|그만둔다|그만두면|to quit|1310|담배를 그만두려고 노력하고 있어요.|I'm trying to quit smoking.
2급 읽이 8과 1항 5단어|송별회|||||farewell party|1311.24064244796|회사를 떠나는 동료를 위해 송별회를 했어요.|We had a farewell party for a colleague leaving the company.
2급 읽이 17과 1항 10단어|거의|||||almost or hardly|1323.7570450874|숙제를 거의 다 끝냈어요.|I almost finished my homework.
2급 문법 4과 3항 2단어|약도|||||map|1328.34753545467|친구가 집 약도를 그려 줬어요.|My friend drew a map of their house for me.
2급 읽이 9과 1항 1단어|아/야|||||used after a name when being called|1328.5802268656|민수야, 어서 와!|Minsu, welcome!
2급 문법 5과 3항 11단어|인사동|||||Insa-dong|1329.10002896097|인사동에서 전통 차를 마셨어요.|I drank traditional tea in Insa-dong.
2급 문법 4과 8항 1단어|거의|||||almost or mostly|1329.84927704092|거의 모든 사람이 그 영화를 봤어요.|Almost everyone watched that movie.
2급 문법 16과 2항 12단어|변비약|||||constipation medicine|1332.69737695809|변비가 심해서 변비약을 샀어요.|My constipation was severe so I bought constipation medicine.
2급 문법 13과 2항 2단어|상자|||||box|1335|택배 상자를 열어 봤어요.|I opened the delivery box.
2급 읽이 10과 1항 10단어|사이|||||between|1347|우리 사이에는 비밀이 없어요.|There are no secrets between us.
2급 문법 11과 2항 5단어|삼거리|||||three-way intersection|1350.06712155882|삼거리에서 오른쪽으로 가세요.|Go right at the three-way intersection.
2급 읽이 20과 1항 21단어|일기예보|||||weather forecast|1356.50000267196|내일 일기예보를 확인해 봤어요.|I checked tomorrow's weather forecast.
2급 문법 13과 2항 10단어|무게|||||weight|1357|이 짐의 무게가 얼마나 돼요?|What is the weight of this luggage?
2급 문법 10과 2항 1단어|부탁|||||request or favor|1360|친구에게 부탁이 있어서 연락했어요.|I contacted my friend because I have a request.
2급 읽이 9과 1항 5단어|앞으로|||||from now on or in the future|1365.42925809044|앞으로 더 열심히 살겠어요.|I will live more diligently from now on.
2급 읽이 1과 1항 5단어|스튜어디스|||||flight attendant|1365.84751366172|비행기에서 스튜어디스가 친절하게 도와줬어요.|The flight attendant kindly helped me on the plane.
2급 읽이 12과 2항 14단어|모든|||||all|1369.17608079966|모든 학생이 시험을 잘 봤어요.|All students did well on the exam.
2급 읽이 10과 1항 3단어|부탁을 받다|부탁을 받아|부탁을 받습니다|부탁을 받는다|부탁을 받으면|be asked a favor or receive a request|1371.67422159109|친구에게 부탁을 받아서 도와줬어요.|I received a request from my friend and helped them.
2급 읽이 6과 2항 10단어|고속터미널|||||express bus terminal|1373.04162990768|부산 가는 버스를 고속터미널에서 탔어요.|I took a bus to Busan at the express bus terminal.
2급 읽이 13과 1항 14단어|앱|||||application|1374|새로운 게임 앱을 다운로드했어요.|I downloaded a new game app.
2급 문법 16과 1항 24단어|붓다²|부어|붓습니다|붓는다|부으면|to pour|1375.91514235828|컵에 물을 부어 주세요.|Please pour water into the cup.
2급 문법 8과 8항 4단어|부인|||||wife|1378|친구의 부인을 처음 만났어요.|I met my friend's wife for the first time.
2급 읽이 18과 1항 7단어|케이티엑스|||||KTX(Korea Train eXpress)|1379.77536127437|케이티엑스를 타고 부산에 갔어요.|I went to Busan by KTX.
2급 문법 19과 1항 6단어|그렇게|||||like that|1387.88709987421|그렇게 화내지 마세요.|Don't get angry like that.
2급 문법 9과 9항 9단어|아흔|||||ninety|1388.60548951197|할아버지는 올해 아흔 살이세요.|My grandfather is ninety years old this year.
2급 문법 12과 1항 3단어|연습하다|연습해|연습합니다|연습한다|연습하면|to practice|1394|매일 한국어 발음을 연습해요.|I practice Korean pronunciation every day.
2급 읽이 7과 2항 9단어|빨갛다|빨개|빨갛습니다|빨갛다|빨가면|to be red|1396|빨간 장미꽃이 아름다워요.|The red roses are beautiful.
2급 문법 5과 3항 7단어|스트레스|||||stress|1399|일 때문에 스트레스를 많이 받아요.|I get a lot of stress because of work.
2급 읽이 14과 1항 5단어|음성 메시지|||||voice message|1399.99580371659|친구가 음성 메시지를 보냈어요.|My friend sent a voice message.
2급 문법 17과 1항 7단어|공포영화|||||horror movie|1404.86338071059|공포영화를 보면 무서워서 잠을 못 자요.|I can't sleep because I'm scared after watching horror movies.
2급 읽이 10과 2항 5단어|자|||||okay|1411|자, 이제 시작해 볼까요?|Okay, shall we start now?
2급 읽이 2과 2항 18단어|작은어머니|||||aunt (wife of one's father's younger brother)|1412.70777781028|작은어머니께서 맛있는 음식을 만들어 주셨어요.|My aunt made delicious food for me.
2급 읽이 10과 1항 12단어|서비스센터|||||service center|1416.73994262237|휴대폰이 고장나서 서비스센터에 갔어요.|My phone broke so I went to the service center.
2급 문법 13과 1항 15단어|환전|||||exchange of money|1418.68767363485|달러를 원화로 환전했어요.|I exchanged dollars for Korean won.
2급 읽이 12과 1항 11단어|문장|||||sentence|1422|어려운 문장을 쉽게 설명해 주세요.|Please explain the difficult sentence in an easy way.
2급 읽이 1과 1항 4단어|무역회사|||||trade company|1423.00743365195|아버지가 무역회사를 운영하세요.|My father runs a trade company.
2급 문법 14과 2항 3단어|캠핑장|||||camping site|1425.41936051566|주말에 가족과 캠핑장에 갔어요.|I went to a camping site with my family on the weekend.
2급 읽이 16과 1항 3단어|감기에 걸리다|감기에 걸려|감기에 걸립니다|감기에 걸린다|감기에 걸리면|to catch a cold|1426.34483671281|날씨가 추워서 감기에 걸렸어요.|I caught a cold because the weather was cold.
2급 문법 6과 9항 5단어|남성복|||||men's clothing|1433.2166678505|남성복 매장에서 정장을 샀어요.|I bought a suit at the men's clothing store.
2급 문법 11과 2항 8단어|광장시장|||||Gwangjang market|1435.87484804448|광장시장에서 빈대떡을 먹었어요.|I ate bindaetteok at Gwangjang market.
2급 읽이 19과 1항 12단어|여행 일정|||||itinerary|1435.97241712268|여행 일정을 미리 계획했어요.|I planned the travel itinerary in advance.
2급 읽이 9과 2항 13단어|어쩔 수 없다|어쩔 수 없어|어쩔 수 없습니다|어쩔 수 없다|어쩔 수 없으면|there is nothing one can do about something|1436.88351742458|비가 와서 소풍이 취소됐어요. 어쩔 수 없어요.|The picnic was cancelled because of rain. There's nothing we can do.
2급 문법 19과 1항 17단어|편도|||||one-way|1441.91560742911|서울에서 부산까지 편도 표를 샀어요.|I bought a one-way ticket from Seoul to Busan.
2급 문법 17과 2항 12단어|물고기|||||fish|1442|수족관에서 예쁜 물고기를 봤어요.|I saw beautiful fish at the aquarium.
2급 읽이 3과 1항 16단어|구경거리|||||tourist attraction|1444.00476256851|제주도에는 구경거리가 많아요.|There are many tourist attractions in Jeju Island.
2급 읽이 11과 1항 6단어|교통 카드|||||transportation card|1445.39952476043|교통 카드로 지하철을 탔어요.|I took the subway with a transportation card.
2급 읽이 3과 2항 5단어|이렇게|||||like this|1448.81966349203|이렇게 좋은 날씨는 처음이에요.|It's the first time having such nice weather like this.
2급 읽이 13과 1항 9단어|인터넷 뱅킹|||||online banking|1453.02362681832|인터넷 뱅킹으로 돈을 송금했어요.|I transferred money through online banking.
2급 문법 13과 2항 7단어|배편|||||by ship|1453.40674032923|제주도에 배편으로 갔어요.|I went to Jeju Island by ship.
2급 문법 11과 1항 15단어|여의도역|||||Yeouido Station|1458.53142428678|여의도역에서 친구와 만났어요.|I met my friend at Yeouido Station.
2급 읽이 5과 1항 18단어|중에서|||||from among|1459.33915826026|여러 음식 중에서 불고기를 선택했어요.|I chose bulgogi from among various foods.
2급 읽이 18과 2항 2단어|유학하다|유학해|유학합니다|유학한다|유학하면|to study abroad|1461.30663610529|미국에서 유학하고 싶어요.|I want to study abroad in America.
2급 문법 5과 3항 4단어|삼성역|||||Samseong subway station|1462.23628812004|삼성역에서 내려서 코엑스에 갔어요.|I got off at Samseong station and went to COEX.
2급 읽이 6과 1항 3단어|냉동식품|||||frozen food|1466.80304512847|편의점에서 냉동식품을 샀어요.|I bought frozen food at the convenience store.
2급 읽이 12과 2항 8단어|등록취소|||||cancellation of registration|1469.41992559005|수업 등록취소를 했어요.|I cancelled my course registration.
2급 읽이 16과 1항 12단어|깁스를 하다|깁스를 해|깁스를 합니다|깁스를 한다|깁스를 하면|to wear a cast|1472.34268265311|팔이 부러져서 깁스를 했어요.|I wore a cast because my arm was broken.
2급 읽이 3과 2항 8단어|해운대|||||Haeundae|1473.31237734761|부산 해운대 해수욕장에 갔어요.|I went to Haeundae Beach in Busan.
2급 문법 17과 1항 6단어|공상과학영화|||||science fiction movie|1476.74755996559|공상과학영화를 보는 것을 좋아해요.|I like watching science fiction movies.
2급 문법 19과 2항 9단어|배낭여행|||||backpacking|1477.07333310973|유럽으로 배낭여행을 떠날 예정이에요.|I plan to go backpacking to Europe.
2급 문법 19과 2항 8단어|단체관광|||||group tour|1481.4990152372|할머니께서 단체관광으로 중국에 다녀오셨어요.|My grandmother went to China on a group tour.
2급 문법 19과 1항 12단어|여행자보험|||||traveler's insurance|1483.23266708758|해외여행 전에 여행자보험에 가입했어요.|I signed up for traveler's insurance before traveling abroad.
2급 읽이 9과 1항 10단어|이가/가|||||placed after a name used as a subject of a sentence|1488.74144267757|민수가 학교에 갔어요.|Minsu went to school.
2급 읽이 5과 1항 23단어|소금|||||salt|1490|음식에 소금을 조금 넣었어요.|I added a little salt to the food.
2급 문법 9과 9항 5단어|여든|||||eighty|1492.56615887862|증조할머니는 올해 여든 살이세요.|My great-grandmother is eighty years old this year.
2급 읽이 5과 1항 4단어|뿌리다|뿌려|뿌립니다|뿌린다|뿌리면|to sprinkle|1493|샐러드 위에 치즈 가루를 뿌렸어요.|I sprinkled cheese powder on top of the salad.
2급 읽이 1과 2항 7단어|고등학교|||||senior high school|1497|고등학교 때 친구들과 아직도 연락해요.|I still keep in touch with friends from senior high school.
2급 읽이 17과 2항 9단어|모으다|모아|모읍니다|모은다|모으면|to collect or gather|1500|동전을 모으는 취미가 있어요.|I have a hobby of collecting coins.
2급 읽이 19과 2항 15단어|편안하다|편안해|편안합니다|편안하다|편안하면|to be comfortable|1502|이 의자는 앉기가 편안해요.|This chair is comfortable to sit in.
2급 문법 14과 1항 4단어|고치다|고쳐|고칩니다|고친다|고치면|to repair or fix|1511|고장난 시계를 고쳐 달라고 했어요.|I asked them to fix the broken watch.
2급 문법 15과 2항 5단어|지난번|||||last time|1514|지난번에 만난 친구가 연락했어요.|The friend I met last time contacted me.
2급 읽이 18과 1항 11단어|도전하다|도전해|도전합니다|도전한다|도전하면|to challenge|1531|새로운 일에 도전하고 싶어요.|I want to challenge myself with new work.
2급 읽이 10과 2항 15단어|뵙다|뵈어/봬|뵙습니다|뵌다|뵈면|to meet (used when meeting people above you)|1537|선생님을 뵙고 인사드렸어요.|I met the teacher and greeted them.
2급 문법 9과 8항 6단어|뵙다|뵈어/봬|뵙습니다|뵌다|뵈면|to meet (honorific form)|1537|할아버지를 뵙고 안부를 여쭸어요.|I met my grandfather and asked about his well-being.
2급 읽이 2과 1항 1단어|잘생기다|잘생겨|잘생깁니다|잘생긴다|잘생기면|to be good-looking|1539|그 배우는 정말 잘생겼어요.|That actor is really good-looking.
2급 문법 20과 1항 12단어|그치다|그쳐|그칩니다|그친다|그치면|to stop|1543|비가 그쳐서 밖에 나갔어요.|The rain stopped so I went outside.
2급 읽이 15과 2항 1단어|주문하다|주문해|주문합니다|주문한다|주문하면|to order|1549|온라인으로 책을 주문했어요.|I ordered a book online.
2급 읽이 17과 1항 2단어|공포|||||horror|1557|공포 영화를 보면 무서워요.|I get scared when I watch horror movies.
2급 읽이 7과 2항 4단어|화려하다|화려해|화려합니다|화려하다|화려하면|to be ornate or gorgeous|1560|결혼식 드레스가 정말 화려했어요.|The wedding dress was really gorgeous.
2급 읽이 1과 2항 15단어|소개|||||introduction|1562|친구에게 새로운 사람을 소개받았어요.|I was introduced to a new person by my friend.
2급 문법 5과 8항 7단어|간|||||saltiness|1571|이 국은 간이 좀 센 것 같아요.|This soup seems a bit too salty.
2급 문법 12과 1항 9단어|끝내다|끝내|끝냅니다|끝낸다|끝내면|to end or finish|1589|드디어 프로젝트를 끝냈어요.|I finally finished the project.
