Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Example|Translation
20493|15|1|Dialogue|중요하다|to be important|重要하다|heavy, important, do|이 문제가 매우 중요해요.|This problem is very important.
20494|15|1|Expanded|공휴일|legal holiday|公休日|public, rest, day|내일은 공휴일이에요.|Tomorrow is a legal holiday.
20495|15|1|Expanded|날짜|date||native Korean root|정확한 날짜를 알려 주세요.|Please tell me the exact date.
20496|15|1|Expanded|마지막|last||native Korean root|이것이 마지막 기회예요.|This is the last chance.
20497|15|1|Expanded|말|the end||native Korean root|이달 말까지 끝내야 해요.|I need to finish it by the end of this month.
20498|15|1|Expanded|연락처|contact information|連絡處|connect, contact, place|연락처를 남겨 주세요.|Please leave your contact information.
20499|15|1|Expanded|연말|end of the year|年末|year, end|연말에는 모임이 많아요.|There are many gatherings at the end of the year.
20500|15|1|Expanded|연초|beginning of the year|年初|year, beginning|연초에 계획을 세웠어요.|I made plans at the beginning of the year.
20501|15|1|Expanded|연휴|consecutive holidays|連休|connect, rest|긴 연휴가 시작됐어요.|The long consecutive holidays have started.
20502|15|1|Expanded|예약석|reserved seats|豫約席|advance, promise, seat|예약석에 앉으세요.|Please sit in the reserved seats.
20503|15|1|Expanded|초|the beginning|初|beginning|이달 초에 만났어요.|We met at the beginning of this month.
20504|15|1|Expanded|평일|weekday|平日|ordinary, day|평일에는 사람이 많아요.|There are many people on weekdays.
20505|15|1|Expanded|꺼내다|to take out||native Korean root|지갑에서 돈을 꺼냈어요.|I took money out of my wallet.
20506|15|1|Expanded|비다|to be empty||native Korean root|교실이 완전히 비어 있어요.|The classroom is completely empty.
20507|15|2|Dialogue|신용카드|credit card|信用카드|trust, use, card|신용카드로 결제할게요.|I'll pay with a credit card.
20508|15|2|Dialogue|이상|something wrong|異常|different, normal|무엇인가 이상해요.|Something is wrong.
20509|15|2|Dialogue|지난번|last time||past, time|지난번에 약속했잖아요.|We promised last time, didn't we?
20510|15|2|Dialogue|현금|cash|現金|present, money|현금으로 계산해 주세요.|Please calculate in cash.
20511|15|2|Dialogue|결제하다|to make a payment|決濟하다|decide, help, do|카드로 결제하겠습니다.|I will pay by card.
20512|15|2|Dialogue|금방|right away||native Korean root|금방 도착할게요.|I'll arrive right away.
20513|15|2|Expanded|과거|past|過去|pass, go|과거를 잊고 미래를 봐요.|Forget the past and look to the future.
20514|15|2|Expanded|미래|future|未來|not, come|미래에 대한 계획이 있어요.|I have plans for the future.
20515|15|2|Expanded|외출|going out|外出|outside, exit|잠깐 외출하고 올게요.|I'll go out briefly and come back.
20516|15|2|Expanded|현재|present|現在|present, exist|현재 상황을 설명해 주세요.|Please explain the current situation.
20517|15|2|Expanded|배달되다|to be delivered|配達되다|distribute, reach, become|음식이 배달되었어요.|The food has been delivered.
20518|15|2|Expanded|배달시키다|to order for delivery|配達시키다|distribute, reach, make|피자를 배달시켰어요.|I ordered pizza for delivery.
20519|15|2|Expanded|잊다|to forget||native Korean root|약속을 잊지 마세요.|Don't forget the appointment.
20520|15|2|Expanded|늘|always||native Korean root|늘 고마워해요.|I'm always grateful.
20521|15|2|Expanded|아까|a short while ago||native Korean root|아까 전화했어요.|I called a short while ago.
20522|15|2|Expanded|앞으로|in the future||front, direction|앞으로도 잘 부탁해요.|Please take care of me in the future too.
20523|16|1|Dialogue|건강보험|health insurance|健康保險|healthy, strong, protect, verify|건강보험증을 가져오세요.|Please bring your health insurance card.
20524|16|1|Dialogue|소독약|antiseptic|消毒藥|eliminate, poison, medicine|상처에 소독약을 발랐어요.|I applied antiseptic to the wound.
20525|16|1|Dialogue|약사|pharmacist|藥師|medicine, teacher|약사에게 상담받으세요.|Please consult with the pharmacist.
20526|16|1|Dialogue|치료|treatment|治療|cure, heal|적절한 치료가 필요해요.|Proper treatment is needed.
20527|16|1|Dialogue|치료비|medical fee|治療費|cure, heal, cost|치료비가 얼마나 나올까요?|How much will the medical fee be?
20528|16|1|Dialogue|다치다|to get hurt||native Korean root|계단에서 다쳤어요.|I got hurt on the stairs.
20529|16|1|Dialogue|바르다|to apply||native Korean root|연고를 바르세요.|Apply the ointment.
20530|16|1|Expanded|감기|cold||native Korean root|감기에 걸렸어요.|I caught a cold.
20531|16|1|Expanded|기침|cough||native Korean root|기침이 심해요.|My cough is severe.
20532|16|1|Expanded|두통|headache|頭痛|head, pain|두통 때문에 힘들어요.|I'm having a hard time because of the headache.
20533|16|1|Expanded|열|fever||native Korean root|열이 많이 나요.|I have a high fever.
20534|16|1|Expanded|콧물|runny nose||nose, water|콧물이 계속 나와요.|My nose keeps running.
20535|16|1|Expanded|나다|to have||native Korean root|열이 나기 시작했어요.|I'm starting to have a fever.
20536|16|1|Expanded|붓다|to swell up||native Korean root|발목이 부었어요.|My ankle is swollen.
20537|16|1|Expanded|심하다|to be severe|甚하다|deep, do|증상이 심해요.|The symptoms are severe.
20538|16|1|Expanded|푹|completely||native Korean root|푹 쉬어야 해요.|You need to rest completely.
20539|16|2|Dialogue|냄새|smell||native Korean root|이상한 냄새가 나요.|There's a strange smell.
20540|16|2|Dialogue|땀|sweat||native Korean root|땀을 많이 흘렸어요.|I sweated a lot.
20541|16|2|Dialogue|배탈|stomach disorder||stomach, trouble|배탈이 났어요.|I have a stomach disorder.
20542|16|2|Dialogue|변비|constipation|便秘|waste, block|변비가 심해요.|My constipation is severe.
20543|16|2|Dialogue|사고|accident|事故|affair, old|교통사고가 났어요.|There was a traffic accident.
20544|16|2|Dialogue|상처|wound|傷處|wound, place|상처가 깊어요.|The wound is deep.
20545|16|2|Dialogue|소화|digestion|消化|eliminate, change|소화가 안 돼요.|I have indigestion.
20546|16|2|Dialogue|피|blood||native Korean root|피가 많이 나와요.|A lot of blood is coming out.
20547|16|2|Dialogue|뜨겁다|to be hot||native Korean root|물이 너무 뜨거워요.|The water is too hot.
20548|16|2|Dialogue|목이 쉬다|to have a hoarse throat||neck, rest|목이 쉬어서 말하기 힘들어요.|It's hard to speak because my throat is hoarse.
20549|16|2|Dialogue|몸이 떨리다|to tremble in the body||body, shake|몸이 떨려요.|My body is trembling.
20550|16|2|Expanded|감기약|cold medicine|感氣藥|cold, energy, medicine|감기약을 사야 해요.|I need to buy cold medicine.
20551|16|2|Expanded|기침약|cough medicine||cough, medicine|기침약을 드세요.|Take cough medicine.
20552|16|2|Expanded|두통약|headache medicine|頭痛藥|head, pain, medicine|두통약이 효과가 있어요.|Headache medicine is effective.
20553|16|2|Expanded|몸무게|body weight||body, weight|몸무게를 재어 보세요.|Please measure your body weight.
20554|16|2|Expanded|변비약|constipation medicine|便秘藥|waste, block, medicine|변비약을 처방받았어요.|I got a prescription for constipation medicine.
20555|16|2|Expanded|선풍기|electric fan|扇風機|fan, wind, machine|선풍기를 켜 주세요.|Please turn on the electric fan.
20556|16|2|Expanded|소화제|digestion medicine|消化劑|eliminate, change, agent|소화제를 먹었어요.|I took digestion medicine.
20557|16|2|Expanded|이상|the above|以上|by, above|이상으로 설명을 마치겠습니다.|I'll finish the explanation with the above.
20558|16|2|Expanded|점수|score|點數|point, number|시험 점수가 좋았어요.|My test score was good.
20559|16|2|Expanded|토픽|TOPIK||loanword|토픽 시험을 봤어요.|I took the TOPIK test.
20560|16|2|Expanded|한약|herbal medicine|韓藥|Korean, medicine|한약을 지어서 먹어요.|I prepare and take herbal medicine.
20561|16|2|Expanded|줄이다|to reduce||native Korean root|체중을 줄이고 싶어요.|I want to reduce my weight.
20562|17|1|Dialogue|관심|interest|關心|concern, heart|음악에 관심이 많아요.|I have a lot of interest in music.
20563|17|1|Dialogue|무료|free|無料|without, fee|무료로 체험할 수 있어요.|You can experience it for free.
20564|17|1|Dialogue|즐기다|to enjoy||native Korean root|여행을 즐기고 있어요.|I'm enjoying the trip.
20565|17|1|Dialogue|아무리|no matter how||native Korean root|아무리 생각해도 모르겠어요.|No matter how much I think, I don't know.
20566|17|1|Expanded|가족영화|family movie|家族영화|family, clan, movie|가족영화를 같이 봤어요.|We watched a family movie together.
20567|17|1|Expanded|공상과학영화|science fiction movie|空想科學영화|empty, think, science, study, movie|공상과학영화를 좋아해요.|I like science fiction movies.
20568|17|1|Expanded|공포영화|horror movie|恐怖영화|fear, terror, movie|공포영화는 무서워요.|Horror movies are scary.
20569|17|1|Expanded|동물|animal|動物|move, thing|동물원에서 동물을 봤어요.|I saw animals at the zoo.
20570|17|1|Expanded|록|rock||loanword|록 음악을 들어요.|I listen to rock music.
20571|17|1|Expanded|만화영화|animated film|漫畫영화|comic, drawing, movie|아이들이 만화영화를 좋아해요.|Children like animated films.
20572|17|1|Expanded|멜로영화|melodramatic movie||melodrama, movie|멜로영화를 보고 울었어요.|I cried watching a melodramatic movie.
20573|17|1|Expanded|세계|world|世界|world, boundary|세계 여행을 하고 싶어요.|I want to travel the world.
20574|17|1|Expanded|전쟁영화|war movie|戰爭영화|war, fight, movie|전쟁영화는 슬퍼요.|War movies are sad.
20575|17|1|Expanded|달리다|to run||native Korean root|매일 아침에 달려요.|I run every morning.
20576|17|2|Dialogue|피아노|piano||loanword|피아노를 배우고 있어요.|I'm learning piano.
20577|17|2|Dialogue|낚시하다|to fish||fishing, do|주말에 낚시하러 가요.|I go fishing on weekends.
20578|17|2|Dialogue|조깅하다|to go jogging||jogging, do|공원에서 조깅해요.|I jog in the park.
20579|17|2|Dialogue|치다|to play||native Korean root|기타를 치고 있어요.|I'm playing guitar.
20580|17|2|Expanded|기타|guitar||loanword|기타 연주를 배워요.|I'm learning to play guitar.
20581|17|2|Expanded|당구|billiards|撞球|hit, ball|당구장에서 당구를 쳤어요.|I played billiards at the billiard hall.
20582|17|2|Expanded|동전|coin|銅錢|copper, money|동전을 모으고 있어요.|I'm collecting coins.
20583|17|2|Expanded|드럼|drum||loanword|드럼을 배우고 싶어요.|I want to learn drums.
20584|17|2|Expanded|만화책|comic book|漫畫책|comic, drawing, book|만화책을 읽는 게 재미있어요.|Reading comic books is fun.
20585|17|2|Expanded|물고기|fish||water, fish|물고기를 키워요.|I raise fish.
20586|17|2|Expanded|볼링|bowling||loanword|친구들과 볼링을 쳤어요.|I went bowling with friends.
20587|17|2|Expanded|새|bird||native Korean root|새가 예쁘게 노래해요.|The bird sings beautifully.
20588|17|2|Expanded|연극|play|演劇|perform, drama|연극을 보러 갔어요.|I went to see a play.
20589|17|2|Expanded|엽서|postcard|葉書|leaf, document|여행지에서 엽서를 보냈어요.|I sent a postcard from the travel destination.
20590|17|2|Expanded|오토바이|motorcycle||loanword|오토바이를 타고 출근해요.|I commute by motorcycle.
20591|17|2|Expanded|팩스|fax||loanword|팩스로 서류를 보냈어요.|I sent documents by fax.
20592|17|2|Expanded|매다|to tie up||native Korean root|신발끈을 매세요.|Tie your shoelaces.
20593|17|2|Expanded|올리다|to raise or lift up||native Korean root|손을 올리세요.|Raise your hand.
20594|17|2|Expanded|키우다|to bring up or raise||native Korean root|아이를 키우고 있어요.|I'm raising a child.
20595|18|1|Dialogue|유학|international study|留學|stay, study|외국에서 유학했어요.|I studied abroad in a foreign country.
20596|18|1|Dialogue|정도|about|程度|degree, measure|한 시간 정도 걸려요.|It takes about an hour.
20597|18|1|Dialogue|결정하다|to decide|決定하다|decide, fix, do|어떻게 할지 결정했어요.|I decided what to do.
20598|18|1|Dialogue|출국하다|to depart from a country|出國하다|exit, country, do|내일 출국할 예정이에요.|I'm scheduled to depart the country tomorrow.
20599|18|1|Dialogue|한|about||native Korean root|한 달 정도 걸려요.|It takes about a month.
20600|18|1|Expanded|계획표|schedule|計劃表|plan, draw, table|계획표를 만들었어요.|I made a schedule.
20601|18|1|Expanded|고등학교|senior high school|高等學校|high, equal, study, school|고등학교를 졸업했어요.|I graduated from senior high school.
20602|18|1|Expanded|매주|every week|每週|every, week|매주 토요일에 만나요.|We meet every Saturday.
20603|18|1|Expanded|매달|every month|每달|every, month|매달 책을 한 권씩 읽어요.|I read one book every month.
20604|18|1|Expanded|매년|every year|每年|every, year|매년 여행을 가요.|I go on a trip every year.
20605|18|1|Expanded|유치원|kindergarten|幼稚園|young, childish, garden|유치원에 다녔어요.|I attended kindergarten.
20606|18|1|Expanded|중학교|middle school|中學校|middle, study, school|중학교 친구를 만났어요.|I met a middle school friend.
20607|18|1|Expanded|초등학교|elementary school|初等學校|beginning, equal, study, school|초등학교 때가 그리워요.|I miss elementary school days.
20608|18|1|Expanded|입학하다|to enter into a school|入學하다|enter, study, do|대학교에 입학했어요.|I entered university.
20609|18|2|Dialogue|경험|experience|經驗|pass, examine|좋은 경험이었어요.|It was a good experience.
20610|18|2|Dialogue|낮|day||native Korean root|낮에 일하고 밤에 공부해요.|I work during the day and study at night.
20611|18|2|Dialogue|밤|night||native Korean root|밤늦게까지 일했어요.|I worked until late at night.
20612|18|2|Dialogue|학원|academy|學院|study, institution|영어 학원에 다녀요.|I attend an English academy.
20613|18|2|Dialogue|벌다|to make or earn||native Korean root|돈을 벌어야 해요.|I need to earn money.
20614|18|2|Dialogue|쌓다|to accumulate||native Korean root|경험을 쌓고 있어요.|I'm accumulating experience.
20615|18|2|Dialogue|미리|ahead of time||native Korean root|미리 준비해 주세요.|Please prepare ahead of time.
20616|18|2|Expanded|겉|surface||native Korean root|겉만 보지 말고 속을 봐요.|Don't just look at the surface, look inside.
20617|18|2|Expanded|바깥|outside||native Korean root|바깥 날씨가 좋아요.|The weather outside is nice.
20618|18|2|Expanded|속|inside||native Korean root|상자 속에 뭐가 있어요?|What's inside the box?
20619|18|2|Expanded|아랫사람|subordinate||below, person|아랫사람을 잘 챙겨야 해요.|You should take good care of your subordinates.
20620|18|2|Expanded|어른|adult||native Korean root|어른께 인사드려야 해요.|I should greet the adults.
20621|18|2|Expanded|윗사람|senior or elder||above, person|윗사람을 존경해야 해요.|You should respect your seniors.
20622|18|2|Expanded|연기하다|to postpone|延期하다|extend, period, do|회의를 연기했어요.|We postponed the meeting.
20623|19|1|Dialogue|볼거리|things to see|볼거리|see, thing|이 도시에는 볼거리가 많아요.|There are many things to see in this city.
20624|19|1|Dialogue|옛날|ancient times|옛날|old, day|옛날 건물들이 아직 남아 있어요.|Ancient buildings still remain.
20625|19|1|Dialogue|유물|relic|遺物|remain, thing|박물관에서 고려시대 유물을 봤어요.|I saw Goryeo dynasty relics at the museum.
20626|19|1|Dialogue|해외여행|overseas trip|海外旅行|sea, outside, travel, go|해외여행 계획을 세우고 있어요.|I'm making overseas travel plans.
20627|19|1|Dialogue|신기하다|to be wonderful|神奇하다|spirit, strange, do|외국 문화가 정말 신기해요.|Foreign culture is really wonderful.
20628|19|1|Expanded|시설|facility|施設|construct, establish|호텔 시설이 깔끔해요.|The hotel facilities are neat.
20629|19|1|Expanded|풍경|scenery|風景|wind, scene|산에서 본 풍경이 아름다워요.|The scenery from the mountain was beautiful.
20630|19|1|Expanded|숙박하다|to lodge|宿泊하다|lodge, stay, do|어디서 숙박할 예정이에요?|Where are you planning to stay?
20631|19|1|Expanded|그렇게|like that||that, way|그렇게 비싸지 않았어요.|It wasn't that expensive.
20632|19|2|Dialogue|객실|guest room|客室|guest, room|객실을 예약했어요.|I reserved a guest room.
20633|19|2|Dialogue|교통편|transportation|交通便|cross, through, convenient|교통편이 좋은 곳이에요.|It's a place with good transportation.
20634|19|2|Dialogue|기념품|souvenir|記念品|record, think, item|친구들에게 줄 기념품을 샀어요.|I bought souvenirs to give to my friends.
20635|19|2|Dialogue|렌터카|rental car||rent, car|렌터카를 빌려서 여행했어요.|I traveled by renting a car.
20636|19|2|Dialogue|리포터|reporter||report, person|여행 리포터가 되고 싶어요.|I want to become a travel reporter.
20637|19|2|Dialogue|여행자보험|traveler's insurance|旅行者保險|travel, go, person, protect|여행자보험에 가입했어요.|I signed up for traveler's insurance.
20638|19|2|Dialogue|여행지|travel destination|旅行地|travel, go, place|인기 있는 여행지를 추천해 주세요.|Please recommend popular travel destinations.
20639|19|2|Dialogue|예절|courtesy|禮節|courtesy, season|다른 나라의 예절을 배워요.|I'm learning other countries' etiquette.
20640|19|2|Expanded|왕복|round trip|往復|go, return|왕복 항공료가 얼마예요?|How much is the round trip airfare?
20641|19|2|Expanded|일정|itinerary|日程|day, journey|여행 일정을 짜고 있어요.|I'm planning the travel itinerary.
20642|19|2|Expanded|전망|view|展望|unfold, look|방에서 바다 전망이 보여요.|You can see the ocean view from the room.
20643|19|2|Expanded|팬|fan||fan|한국 드라마 팬이에요.|I'm a fan of Korean dramas.
20644|19|2|Expanded|편도|one-way|片道|one, road|편도 티켓을 샀어요.|I bought a one-way ticket.
20645|19|2|Expanded|항공권|airline ticket|航空券|fly, empty, ticket|항공권을 미리 예약하세요.|Please book your airline ticket in advance.
20646|19|2|Expanded|가족여행|family trip|家族旅行|family, clan, travel, go|가족여행으로 제주도에 갔어요.|We went to Jeju Island for a family trip.
20647|19|2|Expanded|국내여행|domestic trip|國內旅行|country, inside, travel, go|국내여행도 재미있어요.|Domestic travel is also fun.
20648|19|2|Expanded|단체관광|group tour|團體觀光|group, body, see, light|단체관광보다 자유여행이 좋아요.|I prefer free travel over group tours.
20649|19|2|Expanded|배낭여행|backpacking||bag, pack, travel|배낭여행을 해보고 싶어요.|I want to try backpacking.
20650|19|2|Expanded|수학여행|school trip|修學旅行|study, learn, travel, go|고등학교 때 수학여행을 갔어요.|I went on a school trip in high school.
20651|19|2|Expanded|자유여행|free travel|自由旅行|self, by, travel, go|자유여행이 더 편해요.|Free travel is more comfortable.
20652|20|1|Dialogue|기온|temperature|氣溫|air, warm|오늘 기온이 높아요.|Today's temperature is high.
20653|20|1|Dialogue|강하다|to be strong|强하다|strong, do|바람이 강하게 불어요.|The wind is blowing strongly.
20654|20|1|Dialogue|내리다|to come down|내리다|down, come|비가 하루 종일 내렸어요.|It rained all day long.
20655|20|1|Dialogue|계속|continuously|繼續|continue, continue|계속 추운 날씨가 이어져요.|The cold weather continues.
20656|20|1|Dialogue|그냥|just||just, like that|그냥 집에 있을게요.|I'll just stay home.
20657|20|1|Expanded|남이섬|Nami Island|南怡섬|south, person, island|남이섬에서 단풍을 봤어요.|I saw autumn leaves at Nami Island.
20658|20|1|Expanded|미세먼지|fine dust|微細먼지|small, fine, dust, dirt|미세먼지 때문에 마스크를 써요.|I wear a mask because of fine dust.
20659|20|1|Expanded|습관|habit|習慣|practice, accustom|좋은 습관을 만들어야 해요.|You need to develop good habits.
20660|20|1|Expanded|안개|mist|안개|eye, fog|안개가 끼어서 앞이 안 보여요.|I can't see ahead because of the mist.
20661|20|1|Expanded|열쇠고리|keychain|열쇠고리|key, link|예쁜 열쇠고리를 샀어요.|I bought a pretty keychain.
20662|20|1|Expanded|영상|above zero|零上|zero, above|영상 5도까지 올라갈 거예요.|It will rise to 5 degrees above zero.
20663|20|1|Expanded|영하|below zero|零下|zero, below|영하 10도로 떨어져요.|It drops to 10 degrees below zero.
20664|20|1|Expanded|최고|highest|最高|most, high|최고 기온이 30도예요.|The highest temperature is 30 degrees.
20665|20|1|Expanded|최저|lowest|最低|most, low|최저 기온을 확인해 보세요.|Please check the lowest temperature.
20666|20|1|Expanded|춘천|Chuncheon|春川|spring, stream|춘천에서 닭갈비를 먹었어요.|I ate dakgalbi in Chuncheon.
20667|20|1|Expanded|태풍|typhoon|颱風|big, wind|태풍이 올 것 같아요.|It seems like a typhoon is coming.
20668|20|1|Expanded|개다|to clear up|개다|clear, do|날씨가 개었네요.|The weather has cleared up.
20669|20|1|Expanded|그치다|to stop|그치다|stop, do|비가 그쳤어요.|The rain has stopped.
20670|20|1|Expanded|끼다|to gather|끼다|between, do|구름이 끼었어요.|Clouds have gathered.
20671|20|1|Expanded|습하다|to be humid|濕하다|wet, do|오늘은 너무 습해요.|It's too humid today.
20672|20|2|Dialogue|종일|all day|終日|end, day|종일 비가 내렸어요.|It rained all day.
20673|20|2|Dialogue|햇빛|sunlight|햇빛|sun, light|햇빛이 너무 강해요.|The sunlight is too strong.
20674|20|2|Dialogue|오르다|to go up|오르다|up, go|기온이 점점 올라가요.|The temperature is gradually going up.
20675|20|2|Dialogue|그러면|then|그러면|that, if|그러면 내일 만날까요?|Then shall we meet tomorrow?
20676|20|2|Expanded|마스크|mask||mask|마스크를 착용해 주세요.|Please wear a mask.
20677|20|2|Expanded|비옷|raincoat|비옷|rain, clothes|비옷을 입고 나갔어요.|I went out wearing a raincoat.
20678|20|2|Expanded|선크림|sunblock||sun, cream|선크림을 발라야 해요.|You need to apply sunblock.
20679|20|2|Expanded|실내|indoors|室內|room, inside|실내에서 운동해요.|I exercise indoors.
20680|20|2|Expanded|장화|boots|장화|long, shoes|장화를 신고 밖에 나가요.|I go outside wearing boots.
20681|20|2|Expanded|집안일|household matters|집안일|house, inside, work|집안일을 도와드려요.|I help with household matters.
20682|20|2|Expanded|환기|ventilation|換氣|change, air|방을 환기시켜야 해요.|You need to ventilate the room.
20683|20|2|Expanded|걸레질하다|to wipe with cloth|걸레질하다|rag, quality, do|바닥을 걸레질했어요.|I wiped the floor with a cloth.
20684|20|2|Expanded|다림질하다|to iron|다림질하다|iron, quality, do|셔츠를 다림질했어요.|I ironed the shirt.
20685|20|2|Expanded|설거지하다|to wash dishes|설거지하다|wash, dish, do|저녁 후에 설거지를 해요.|I wash dishes after dinner.
20686|20|2|Expanded|쓸다|to sweep|쓸다|sweep, do|마당을 깨끗하게 쓸었어요.|I swept the yard clean.
20687|20|2|Expanded|졸리다|to be sleepy|졸리다|sleepy, do|비 오는 날에는 졸려요.|I get sleepy on rainy days.
20688|20|2|Expanded|그래도|but|그래도|that, even|그래도 열심히 해야 해요.|Even so, you need to work hard.
20689|20|2|Expanded|그러나|however|그러나|that, but|비가 와요. 그러나 나갈 거예요.|It's raining. However, I'm going out.
20690|20|2|Expanded|왜냐하면|because|왜냐하면|why, because|늦었어요. 왜냐하면 버스가 안 왔거든요.|I'm late. Because the bus didn't come.
20691|20|2|Expanded|하지만|but|하지만|do, but|바빠요. 하지만 도와드릴게요.|I'm busy. But I'll help you.
